#Data for  alexnet
#rows 1-MPS only, 2-Netml, 3-2 streams, 4-batch of 2, 5-batch of 4, 6-batch of 8, 7 adaptive batching
#median throughput, std throughput, median gpu_latency, std gpu_latency, median cpu latency, std cpu latency
455,3.7918753452135,1926,0,1934,253.41019520483
480,4.0438298950269,1882,0,1904,8.3271908903338
575,1.6975938200282,3579,0,9285,32.561078522875
660,6.6007821879677,2924,0,5738,23.944340305056
1160,9.7434902167899,3152,64.685967290525,6421,30.965041106052
1640,21.009450755744,3709,97.938780955759,8350,84.14933179229
1760,21.250912695292,3432,77.276278945555,6503,132.77588520226
