#Data for  resnet50
#rows 1-MPS only, 2-Netml, 3-2 streams, 4-batch of 2, 5-batch of 4, 6-batch of 8, 7 adaptive batching
#median throughput, std throughput, median gpu_latency, std gpu_latency, median cpu latency, std cpu latency
140,1.8731904991868,6292,26.885514619533,6392,749.54276203141
140,2.4653342054455,6248,0,6348,0
180,2.5023344757239,11119,0,11089,209.32267332375
280,4.7676787381981,6847,19.982388996483,14132,228.00756677748
480,7.3493527074806,7621,3.8781980284027,15492,0
560,16.011045910877,9834,0,24187,519.52514348048
835,20.16342609527,10166,65.58188492515,19019,43.772887723821
